Sample,source,sample_type,Batch,Definition,Coverage,# Reads,Contamination,low_coverage,low_quality_assembly,Final tree
20221213alt3m,wastewater,mrsa,batch1,unique,466,4347520,no,no,no,yes
20221213alt4m,wastewater,mrsa,batch1,unique,527,4916275,no,no,no,yes
20230307chu4m,wastewater,mrsa,batch1,unique,254,2369806,no,no,no,yes
20230307gen4m,wastewater,mrsa,batch1,unique,664,6198512,no,no,no,yes
20230404chu5m,wastewater,mrsa,batch1,unique,303,2826494,no,no,no,yes
20230627lug6m,wastewater,mrsa,batch1,unique,685,6396390,no,no,no,yes
20230627lug7m,wastewater,mrsa,batch1,unique,445,4153164,no,no,no,yes
20230627chu5m,wastewater,mrsa,batch1,unique,844,7874520,yes,no,no,no
20230627chu6m,wastewater,mrsa,batch1,unique,543,5071543,no,no,no,yes
20230627chu7m,wastewater,mrsa,batch1,unique,492,4589057,no,no,no,yes
20230627gen7m,wastewater,mrsa,batch1,unique,617,5754695,no,no,no,yes
20230627alt6m,wastewater,mrsa,batch1,unique,662,6174611,no,no,no,yes
20231112zur1m,wastewater,mrsa,batch1,unique,679,6340435,no,no,no,yes
20231113lug1m,wastewater,mrsa,batch1,unique,599,5586462,no,no,no,yes
20231113lug5m,wastewater,mrsa,batch1,unique,620,5789514,no,no,no,yes
20231210chu1m,wastewater,mrsa,batch1,unique,616,5752683,no,no,no,yes
20231210chu1m,wastewater,mrsa,batch1,duplicate,521,4865719,no,no,no,no
20231210chu5m,wastewater,mrsa,batch1,unique,424,3953747,no,no,no,yes
20231211lug1m,wastewater,mrsa,batch1,unique,667,6226872,no,no,no,yes
20231211alt1m,wastewater,mrsa,batch1,unique,547,5108742,no,no,no,yes
20231212gen7m,wastewater,mrsa,batch1,unique,552,5149783,no,no,no,yes
20240107chu5m,wastewater,mrsa,batch1,unique,479,4474554,no,no,no,yes
20240107chu7m,wastewater,mrsa,batch1,unique,695,6490698,no,no,no,yes
20240108lug1m,wastewater,mrsa,batch1,unique,591,5515976,no,no,no,yes
20240108lau6m,wastewater,mrsa,batch1,unique,478,4458177,no,no,no,yes
20240108alt3m,wastewater,mrsa,batch1,unique,488,4559144,no,no,no,yes
20240109gen5m,wastewater,mrsa,batch1,unique,675,6303034,no,no,no,yes
20240109gen7m,wastewater,mrsa,batch1,unique,567,5289598,no,no,no,yes
eoc1,clinics,mrsa,batch1,unique,160,1490933,no,no,no,yes
eoc1,clinics,mrsa,batch1,duplicate,561,5237444,no,no,no,no
eoc2,clinics,mrsa,batch1,unique,599,5593770,no,no,no,yes
eoc3,clinics,mrsa,batch1,unique,591,5518935,no,no,no,yes
eoc4,clinics,mrsa,batch1,unique,655,6115018,no,no,no,yes
eoc5,clinics,mrsa,batch1,unique,487,4548109,no,no,no,yes
eoc6,clinics,mrsa,batch1,unique,537,5009649,no,no,no,yes
eoc7,clinics,mrsa,batch1,unique,306,2858942,no,no,no,yes
eoc8,clinics,mrsa,batch1,unique,431,4024208,no,no,no,yes
eoc9,clinics,mrsa,batch1,unique,662,6177649,no,no,no,yes
eoc10,clinics,mrsa,batch1,unique,712,6642891,no,no,no,yes
eoc11,clinics,mrsa,batch1,unique,544,5078380,no,no,no,yes
eoc12,clinics,mrsa,batch1,unique,474,4427375,no,no,no,yes
eoc13,clinics,mrsa,batch1,unique,449,4192477,no,no,no,yes
eoc14,clinics,mrsa,batch1,unique,501,4676361,no,no,no,yes
eoc15,clinics,mrsa,batch1,unique,686,6403459,no,no,no,yes
eoc16,clinics,mrsa,batch1,unique,561,5240655,no,no,no,yes
eoc17,clinics,mrsa,batch1,unique,530,4947288,no,no,no,yes
eoc18,clinics,mrsa,batch1,unique,284,2651200,no,no,no,yes
eoc19,clinics,mrsa,batch1,unique,601,5607251,no,no,no,yes
eoc20,clinics,mrsa,batch1,unique,598,5583557,no,no,no,yes
eoc21,clinics,mrsa,batch1,unique,620,5785919,no,no,no,yes
eoc22,clinics,mrsa,batch1,unique,355,3309257,no,no,no,yes
eoc23,clinics,mrsa,batch1,unique,560,5223581,no,no,no,yes
eoc24,clinics,mrsa,batch1,unique,413,3856349,no,no,no,yes
eoc25,clinics,mrsa,batch1,unique,668,6236633,no,no,no,yes
eoc26,clinics,mrsa,batch1,unique,280,2611130,no,no,no,yes
eoc27,clinics,mrsa,batch1,unique,590,5506601,no,no,no,yes
eoc28,clinics,mrsa,batch1,unique,192,1789049,no,no,no,yes
eoc29,clinics,mrsa,batch1,unique,594,5541882,no,no,no,yes
eoc30,clinics,mrsa,batch1,unique,583,5442610,no,no,no,yes
eoc31,clinics,mrsa,batch1,unique,673,6284774,no,no,no,yes
usz1,clinics,mrsa,batch1,unique,515,4808422,no,no,no,yes
usz2,clinics,mrsa,batch1,unique,573,5349814,no,no,no,yes
usz3,clinics,mrsa,batch1,unique,759,7081442,no,no,no,yes
usz4,clinics,mrsa,batch1,unique,537,5012599,no,no,no,yes
usz5,clinics,mrsa,batch1,unique,629,5874415,no,no,no,yes
usz6,clinics,mrsa,batch1,unique,416,3884624,no,no,no,yes
usz7,clinics,mrsa,batch1,unique,244,2281970,no,no,no,yes
usz8,clinics,mrsa,batch1,unique,445,4152376,no,no,no,yes
usz9,clinics,mrsa,batch1,unique,662,6180350,no,no,no,yes
usz10,clinics,mrsa,batch1,unique,555,5180740,no,no,no,yes
usz11,clinics,mrsa,batch1,unique,595,5551585,no,no,no,yes
usz12,clinics,mrsa,batch1,unique,513,4791109,no,no,no,yes
usz13,clinics,mrsa,batch1,unique,385,3592804,no,no,no,yes
usz14,clinics,mrsa,batch1,unique,624,5821058,no,no,no,yes
usz15,clinics,mrsa,batch1,unique,536,4999567,no,no,no,yes
usz16,clinics,mrsa,batch1,unique,675,6299397,no,no,no,yes
usz17,clinics,mrsa,batch1,unique,775,7234546,no,no,no,yes
usz18,clinics,mrsa,batch1,unique,524,4892795,no,no,no,yes
usz19,clinics,mrsa,batch1,unique,710,6626694,no,no,no,yes
usz20,clinics,mrsa,batch1,unique,593,5538706,no,no,no,yes
usz21,clinics,mrsa,batch1,unique,508,4739890,no,no,no,yes
usz22,clinics,mrsa,batch1,unique,433,4039576,no,no,no,yes
usz23,clinics,mrsa,batch1,unique,827,7716860,no,no,no,yes
usz24,clinics,mrsa,batch1,unique,497,4640091,no,no,no,yes
usz25,clinics,mrsa,batch1,unique,511,4769255,no,no,no,yes
usz26,clinics,mrsa,batch1,unique,566,5281929,no,no,no,yes
usz27,clinics,mrsa,batch1,unique,581,5421847,no,no,no,yes
usz28,clinics,mrsa,batch1,unique,648,6051656,no,no,no,yes
usz29,clinics,mrsa,batch1,unique,599,5591235,no,no,no,yes
usz30,clinics,mrsa,batch1,unique,505,4713864,no,no,no,yes
hug1,clinics,mrsa,batch1,unique,744,6946730,no,no,no,yes
hug2,clinics,mrsa,batch1,unique,498,4644584,no,no,no,yes
AE_plate1,na,negative_control,batch1,control,2,18830,na,yes,na,no
20211116alt2,na,ecoli_control_strain1,batch1,control,846,7897584,no,no,na,no
hug3,clinics,mrsa,batch1,unique,607,5666575,no,no,no,yes
hug4,clinics,mrsa,batch1,unique,258,2408962,no,no,no,yes
hug5,clinics,mrsa,batch1,unique,10,94752,no,yes,no,no
hug6,clinics,mrsa,batch1,unique,686,6399100,no,no,no,yes
hug7,clinics,mrsa,batch1,unique,672,6272284,no,no,no,yes
hug8,clinics,mrsa,batch1,unique,576,5379944,no,no,no,yes
hug9,clinics,mrsa,batch1,unique,652,6082099,no,no,no,yes
hug10,clinics,mrsa,batch1,unique,585,5463044,no,no,no,yes
hug11,clinics,mrsa,batch1,unique,597,5569654,no,no,no,yes
hug12,clinics,mrsa,batch1,unique,574,5358528,no,no,no,yes
hug13,clinics,mrsa,batch1,unique,435,4059828,no,no,no,yes
hug14,clinics,mrsa,batch1,unique,724,6754438,no,no,no,yes
hug15,clinics,mrsa,batch1,unique,797,7435733,no,no,no,yes
hug15,clinics,mrsa,batch1,duplicate,583,5438008,no,no,no,no
hug16,clinics,mrsa,batch1,unique,302,2821181,no,no,no,yes
hug17,clinics,mrsa,batch1,unique,723,6748789,no,no,no,yes
hug18,clinics,mrsa,batch1,unique,521,4862462,no,no,no,yes
hug19,clinics,mrsa,batch1,unique,550,5132496,no,no,no,yes
hug20,clinics,mrsa,batch1,unique,570,5319535,no,no,no,yes
hug21,clinics,mrsa,batch1,unique,515,4806725,no,no,no,yes
hug22,clinics,mrsa,batch1,unique,683,6376909,no,no,no,yes
hug23,clinics,mrsa,batch1,unique,487,4545482,no,no,no,yes
hug24,clinics,mrsa,batch1,unique,751,7013908,no,no,no,yes
hug25,clinics,mrsa,batch1,unique,712,6640777,no,no,no,yes
hug26,clinics,mrsa,batch1,unique,633,5903754,no,no,no,yes
hug27,clinics,mrsa,batch1,unique,506,4723184,no,no,no,yes
hug28,clinics,mrsa,batch1,unique,510,4758233,no,no,no,yes
hug29,clinics,mrsa,batch1,unique,609,5679487,no,no,no,yes
AE,na,negative_control,batch1,control,0,2326,na,yes,na,no
20211116alt3,na,ecoli_control_strain2,batch1,control,897,8375149,no,no,na,no
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,115
