#FILE	NUM_FOUND	AAC(6')-Ie-APH(2'')-Ia	AAC(6')-Ii	ANT(4')-Ib	APH(3')-IIIa	ErmA	ErmC	ErmT	PC1_beta-lactamase_(blaZ)	SAT-4	Staphylococcus_aureus_FosB	Staphylococcus_aureus_norA	Staphylococcys_aureus_LmrS	aad(6)	arlR	arlS	dfrC	dfrG	efmA	fexA	fusB	fusC	lnuA	lsaE	mecA	mecI	mecR1	mepA	mepR	mgrA	mphC	msrA	msrC	mupA	tet(38)	tet(K)	tet(L)	tetM
/cluster/scratch/jkamer/Data/Blasted/A97275_2_card.txt	10	.	.	.	.	.	.	.	100	.	.	100	100	.	100	100	.	.	.	.	.	.	.	.	100	.	.	100	100	100	.	.	.	.	100	.	.	.
/cluster/scratch/jkamer/Data/Blasted/A97276_2_card.txt	13	.	100	.	.	.	.	.	100	.	.	100	100	.	100	100	.	.	100	.	.	.	.	.	100	.	.	100	100	100	.	.	100	.	100	.	.	.
/cluster/scratch/jkamer/Data/Blasted/A97277_2_card.txt	11	.	.	.	.	.	.	.	100	.	.	99.91	99.93	.	100	100	.	.	.	.	.	.	100	.	100	.	.	100	100	100	.	.	.	.	100	.	.	.
/cluster/scratch/jkamer/Data/Blasted/A97278_2_card.txt	10	.	.	.	.	.	.	.	100	.	.	99.91	99.93	.	100	100	.	.	.	.	.	.	.	.	100	.	.	100	100	100	.	.	.	.	100	.	.	.
/cluster/scratch/jkamer/Data/Blasted/A97280_2_card.txt	12	.	.	.	.	.	.	.	100	.	100	99.91	100	.	100	100	.	100	.	.	.	.	.	.	100	.	.	100	100	100	.	.	.	.	100	.	.	.
/cluster/scratch/jkamer/Data/Blasted/A97281_2_card.txt	12	.	.	.	.	.	.	.	100	.	100	99.91	100	.	100	100	.	100	.	.	.	.	.	.	100	.	.	100	100	100	.	.	.	.	100	.	.	.
/cluster/scratch/jkamer/Data/Blasted/A97282_2_card.txt	12	.	.	.	.	.	.	.	100	.	100	99.91	100	.	100	100	.	100	.	.	.	.	.	.	100	.	.	100	100	100	.	.	.	.	100	.	.	.
/cluster/scratch/jkamer/Data/Blasted/A97283_2_card.txt	12	.	.	.	.	.	.	.	100	.	100	99.91	100	.	100	100	.	100	.	.	.	.	.	.	100	.	.	100	100	100	.	.	.	.	100	.	.	.
/cluster/scratch/jkamer/Data/Blasted/A97284_2_card.txt	12	.	.	.	.	.	.	.	100	.	100	99.91	100	.	100	100	.	100	.	.	.	.	.	.	100	.	.	100	100	100	.	.	.	.	100	.	.	.
/cluster/scratch/jkamer/Data/Blasted/A97285_2_card.txt	12	.	.	.	.	.	.	.	100	.	100	99.91	100	.	100	100	.	100	.	.	.	.	.	.	100	.	.	100	100	100	.	.	.	.	100	.	.	.
/cluster/scratch/jkamer/Data/Blasted/A97286_2_card.txt	11	.	.	.	.	.	.	.	100	.	.	99.91	99.93	.	100	100	100	.	.	.	.	.	.	.	100	.	.	100	100	100	.	.	.	.	100	.	.	.
/cluster/scratch/jkamer/Data/Blasted/A97287_2_card.txt	13	100	.	.	.	.	100	.	.	.	100	96.92	.	.	.	.	100	.	.	.	100	.	.	.	.	.	.	100	100	100	100	100	.	.	100	100	.	.
/cluster/scratch/jkamer/Data/Blasted/A97288_2_card.txt	17	100	.	.	.	.	100	.	.	.	100	100	100	.	100	100	100	.	.	.	100	.	.	.	100	.	.	100	100	100	100	100	.	.	100	87.83	.	.
/cluster/scratch/jkamer/Data/Blasted/A97289_2_card.txt	13	100	.	.	.	.	100	.	.	.	100	100	.	.	100	100	100	.	.	.	100	.	.	.	100	.	.	100	.	100	.	100	.	.	.	100	.	.
/cluster/scratch/jkamer/Data/Blasted/A97291_2_card.txt	11	.	.	.	.	.	100	.	.	.	100	100	.	.	100	.	100	.	.	.	100	.	.	.	100	.	.	.	100	100	.	100	.	.	100	.	.	.
/cluster/scratch/jkamer/Data/Blasted/A97292_2_card.txt	13	.	.	.	.	.	.	.	96.45	.	.	100	100	.	100	100	100	.	.	.	100	.	.	.	100	.	.	100	100	100	.	100	.	.	100	.	.	.
/cluster/scratch/jkamer/Data/Blasted/A97293_2_card.txt	14	100	.	.	.	.	100	.	100	.	.	100	100	.	100	100	100	.	.	.	100	.	.	.	100	.	.	100	100	100	.	.	.	.	100	.	.	.
/cluster/scratch/jkamer/Data/Blasted/A97294_2_card.txt	11	.	.	.	.	.	100	.	.	.	99.76	100	100	.	100	100	.	.	.	.	.	.	.	.	100	.	.	100	100	100	.	.	.	.	100	.	.	.
/cluster/scratch/jkamer/Data/Blasted/A97295_2_card.txt	11	.	.	.	.	.	100	.	.	.	99.76	100	100	.	100	100	.	.	.	.	.	.	.	.	100	.	.	100	100	100	.	.	.	.	100	.	.	.
/cluster/scratch/jkamer/Data/Blasted/A97296_2_card.txt	10	.	.	.	.	.	.	.	100	.	.	100	100	.	100	100	.	.	.	.	.	.	.	.	100	.	.	100	100	100	.	.	.	.	100	.	.	.
/cluster/scratch/jkamer/Data/Blasted/A97297_2_card.txt	10	.	.	.	.	.	.	.	.	.	99.76	100	100	.	100	100	.	.	.	.	.	.	.	.	100	.	.	100	100	100	.	.	.	.	100	.	.	.
/cluster/scratch/jkamer/Data/Blasted/A97298_2_card.txt	11	.	.	.	.	.	100	.	.	.	99.76	100	100	.	100	100	.	.	.	.	.	.	.	.	100	.	.	100	100	100	.	.	.	.	100	.	.	.
/cluster/scratch/jkamer/Data/Blasted/A97299_2_card.txt	12	.	.	.	.	.	100	.	100	.	99.76	100	100	.	100	100	.	.	.	.	.	.	.	.	100	.	.	100	100	100	.	.	.	.	100	.	.	.
/cluster/scratch/jkamer/Data/Blasted/A97300_2_card.txt	8	.	.	.	.	.	100	.	100	.	99.76	100	90.64	.	100	.	.	.	.	.	.	.	.	.	100	.	.	.	.	.	.	.	.	.	100	.	.	.
/cluster/scratch/jkamer/Data/Blasted/A97301_2_card.txt	10	.	.	.	.	.	.	.	100	.	.	100	100	.	100	100	.	.	.	.	.	.	.	.	100	.	.	100	100	100	.	.	.	.	100	.	.	.
/cluster/scratch/jkamer/Data/Blasted/A97302_2_card.txt	16	.	.	100	100	.	.	.	100	100	.	99.91	100	.	100	100	.	.	.	.	.	.	.	.	100	.	.	100	100	100	100	100	.	.	100	100	.	.
/cluster/scratch/jkamer/Data/Blasted/A97303_2_card.txt	13	100	.	.	.	.	100	.	100.00;100.00	.	100	100	100	.	100	100	.	.	.	.	.	.	.	.	100	.	.	100	100	100	.	.	.	.	100	.	.	.
/cluster/scratch/jkamer/Data/Blasted/A97305_2_card.txt	12	100	.	.	.	.	.	.	.	.	100	100	100	.	100	100	.	100	.	.	.	.	.	.	100	.	.	100	100	100	.	.	.	.	100	.	.	.
/cluster/scratch/jkamer/Data/Blasted/A97306_2_card.txt	9	100	.	.	.	.	.	.	100	.	100	.	100	.	.	.	.	100	.	.	.	.	.	.	100	.	.	96.17	100	100	.	.	.	.	.	.	.	.
/cluster/scratch/jkamer/Data/Blasted/A97307_2_card.txt	15	.	.	.	100	.	100	.	100	100	.	100	100	100	100	100	.	.	.	.	.	.	.	.	100	.	.	100	100	100	.	.	.	.	100	100	.	.
/cluster/scratch/jkamer/Data/Blasted/A97308_2_card.txt	10	.	.	.	.	.	.	.	100	.	.	99.91	99.93	.	100	100	.	.	.	.	.	.	.	.	100	.	.	100	100	100	.	.	.	.	100	.	.	.
/cluster/scratch/jkamer/Data/Blasted/A97309_2_card.txt	11	.	.	.	.	.	.	.	100	.	100	99.91	100	.	100	100	.	.	.	.	.	.	.	.	100	.	.	100	100	100	.	.	.	.	100	.	.	.
/cluster/scratch/jkamer/Data/Blasted/A97310_2_card.txt	12	.	.	.	.	.	100	.	100	.	.	99.91	99.93	.	100	100	.	.	.	.	.	.	.	.	100	.	.	100	100	100	.	.	.	.	100	100	.	.
/cluster/scratch/jkamer/Data/Blasted/A97311_2_card.txt	11	.	.	.	.	.	.	.	100	.	.	99.91	99.93	.	100	100	100	.	.	.	.	.	.	.	100	.	.	100	100	100	.	.	.	.	100	.	.	.
/cluster/scratch/jkamer/Data/Blasted/A97312_2_card.txt	14	.	.	.	.	.	100	.	100	.	100	100	100	.	100	100	.	.	.	.	100	.	.	.	100	.	.	100	100	100	.	100	.	.	100	.	.	.
/cluster/scratch/jkamer/Data/Blasted/A97313_2_card.txt	16	.	.	.	.	.	100	.	100	.	100	100	100	.	100	100	100	.	.	100	.	100	.	.	100	.	.	100	100	100	.	.	.	.	100	.	.	100
/cluster/scratch/jkamer/Data/Blasted/A97314_2_card.txt	14	.	.	.	.	.	.	.	100	.	100	100	100	.	100	100	.	.	.	.	100	.	.	.	100	.	.	100	100	100	100	100	.	.	100	.	.	.
/cluster/scratch/jkamer/Data/Blasted/A97315_2_card.txt	11	.	.	.	.	.	.	.	100	.	100	100	100	.	100	100	.	.	.	.	.	.	.	.	100	.	.	100	100	100	.	.	.	.	100	.	.	.
/cluster/scratch/jkamer/Data/Blasted/A97316_2_card.txt	12	.	.	.	.	.	100	.	.	.	.	99.91	99.93	.	100	100	.	.	.	.	.	.	.	.	100	.	.	100	100	100	100	100	.	.	100	.	.	.
/cluster/scratch/jkamer/Data/Blasted/A97317_2_card.txt	12	.	.	.	.	.	.	.	100.00;100.00	.	100	100	100	.	100	100	.	.	.	.	.	100	.	.	100	.	.	100	100	100	.	.	.	.	100	.	.	.
/cluster/scratch/jkamer/Data/Blasted/A97318_2_card.txt	13	.	.	.	.	.	.	.	100	.	100	99.91;99.91	100	.	100	100	100	.	.	.	.	100	.	.	100	.	.	100	100	100.00;100.00	.	.	.	.	100	.	.	.
/cluster/scratch/jkamer/Data/Blasted/A97319_2_card.txt	13	.	.	.	.	.	.	.	100	.	100	100	100	.	100	100	.	100	.	.	.	100	.	.	100	.	.	100	100	100	.	.	.	.	100	.	.	.
/cluster/scratch/jkamer/Data/Blasted/A97320_2_card.txt	13	.	.	.	.	.	.	.	100	.	100	100	100	.	100	100	.	.	.	.	100	.	.	.	100	.	.	100	100	100	.	100	.	.	100	.	.	.
/cluster/scratch/jkamer/Data/Blasted/A97321_2_card.txt	15	.	.	.	100	.	.	.	100	97.79	100	100	100	.	100	100	.	.	.	.	.	.	.	.	100	.	.	100	100	100	100	100	.	.	100	.	.	.
/cluster/scratch/jkamer/Data/Blasted/A97322_2_card.txt	12	.	.	.	.	.	100	.	100	.	100	100	100	.	100	100	.	.	.	.	.	.	.	.	100	.	.	100	100	100	.	.	.	.	100	.	.	.
/cluster/scratch/jkamer/Data/Blasted/A97323_2_card.txt	11	.	.	.	.	.	.	.	100	.	100	100	100	.	100	100	.	.	.	.	.	.	.	.	100	.	.	100	100	100	.	.	.	.	100	.	.	.
/cluster/scratch/jkamer/Data/Blasted/A97324_2_card.txt	10	.	.	.	.	.	80.41	.	100.00;100.00	.	100	.	100	.	.	.	.	.	.	.	100	.	.	.	100	.	.	96.09	100	100	.	100	.	.	.	.	.	.
/cluster/scratch/jkamer/Data/Blasted/A97325_2_card.txt	13	.	.	.	.	.	100	.	100	.	100	100	100	.	100	100	.	.	.	.	.	100	.	.	100	.	.	100	100	100	.	.	.	.	100	.	.	.
/cluster/scratch/jkamer/Data/Blasted/A97326_2_card.txt	15	.	.	.	.	.	.	.	100	.	100	100	100	.	100	100	100	.	.	100	.	100	.	.	100	.	.	100	100	100	.	.	.	.	100	.	.	100
/cluster/scratch/jkamer/Data/Blasted/A97327_2_card.txt	15	.	.	.	.	.	100	.	100	.	.	100	100	.	100	100	100	.	.	.	100	100	.	.	100	.	.	100	100	100	.	100	.	.	100	.	.	.
/cluster/scratch/jkamer/Data/Blasted/A97328_2_card.txt	11	.	.	.	.	.	.	.	100.00;100.00	.	.	99.91	99.93	.	100	100	.	.	.	.	.	100	.	.	100	.	.	100	100	100	.	.	.	.	100	.	.	.
/cluster/scratch/jkamer/Data/Blasted/A97329_2_card.txt	11	.	.	.	.	.	.	.	100	.	100	100	100	.	100	100	.	.	.	.	.	.	.	.	100	.	.	100	100	100	.	.	.	.	100	.	.	.
/cluster/scratch/jkamer/Data/Blasted/A97330_2_card.txt	10	.	.	.	.	.	.	100	100	.	.	99.91	100	.	100	100	.	.	.	.	.	.	.	.	.	.	.	100	100	100	.	.	.	.	100	.	.	.
/cluster/scratch/jkamer/Data/Blasted/A97331_2_card.txt	11	.	.	.	.	.	.	.	100	.	100	100	100	.	100	100	.	.	.	.	.	.	.	.	100	.	.	100	100	100	.	.	.	.	100	.	.	.
/cluster/scratch/jkamer/Data/Blasted/A97332_2_card.txt	11	.	.	.	.	.	.	.	100	.	100	.	.	.	81.67	.	.	100	.	.	100	.	.	.	100	.	.	92.7	94.05	100	.	100	.	.	.	100	.	.
/cluster/scratch/jkamer/Data/Blasted/A97333_2_card.txt	8	.	.	.	.	.	.	.	.	.	.	100	100	.	100	100	.	.	.	.	.	.	.	.	.	.	.	100	100	100	.	.	.	.	100	.	.	.
/cluster/scratch/jkamer/Data/Blasted/A97334_2_card.txt	12	.	.	.	.	.	.	.	100	.	.	99.91	99.93	.	100	100	.	.	.	.	.	.	.	.	100	.	.	100	100	100	.	100	.	.	100	85.58	.	.
/cluster/scratch/jkamer/Data/Blasted/A97335_2_card.txt	12	.	.	.	.	99.86	.	.	100	.	.	99.91	100	.	100	100	.	.	.	.	.	.	.	.	100	.	.	100	100	100	.	.	.	.	100	100	.	.
