#FILE	NUM_FOUND	acm	adsA	aur	cap8A	cap8B	cap8C	cap8D	cap8E	cap8F	cap8G	cap8H	cap8I	cap8J	cap8K	cap8L	cap8M	cap8N	cap8O	cap8P	chp	cna	coa	ebp	esaA	esaB	esaC	essA	essB	essC	esxA	esxB	eta	etb	fnbA	fnbB	geh	hlb	hld	hlgA	hlgB	hlgC	hly/hla	hysA	icaA	icaB	icaC	icaD	icaR	isdA	isdB	isdC	isdD	isdE	isdF	isdG	lip	lukF-PV	lukS-PV	map	sak	sbi	scm	scn	sdrD	sdrE	sea	seb	sec	sed	seh	selk	sell	selq	sgrA	spa	srtB	sspA	sspB	sspC	tsst-1	vWbp
/cluster/scratch/jkamer/Data/Blasted/A97275_2_vfdb.txt	53	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	.	.	100.00	100.00	100.00	100.00	100.00	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	.	.	100.00	82.98	100.00	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	99.85	100.00	100.00	100.00	100.00	100.00	100.00	98.98	.	98.06	100.00	99.92	.	100.00	84.82	.	.	.	.	.	.	.	.	.	.	.	100.00	100.00	100.00	100.00	.	.
/cluster/scratch/jkamer/Data/Blasted/A97276_2_vfdb.txt	56	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	.	.	100.00	100.00	100.00	100.00	100.00	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	93.31	.	100.00	82.98	100.00	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	99.85	100.00	100.00	100.00	100.00	100.00	100.00	98.98	.	84.56	100.00	99.92	97.13	100.00	84.82	.	.	.	.	.	.	.	.	.	.	.	100.00	100.00	100.00	100.00	.	.
/cluster/scratch/jkamer/Data/Blasted/A97277_2_vfdb.txt	52	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	.	88.07	99.38	100.00	100.00	.	100.00	100.00	.	100.00	.	.	.	.	.	100.00	82.98	100.00	99.89	100.00	100.00	100.00	98.73	100.00	100.00	100.00	100.00	100.00	100.00	99.85	100.00	100.00	100.00	100.00	100.00	100.00	.	.	99.60	100.00	97.11	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	100.00	96.04	100.00	100.00	100.00	.
/cluster/scratch/jkamer/Data/Blasted/A97278_2_vfdb.txt	53	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	.	96.53	99.38	100.00	100.00	.	100.00	100.00	.	100.00	.	.	.	.	.	100.00	82.98	100.00	99.89	100.00	100.00	100.00	98.73	100.00	100.00	100.00	100.00	100.00	100.00	99.85	100.00	100.00	100.00	100.00	100.00	100.00	.	.	99.60	100.00	97.11	.	100.00	.	80.74	.	.	.	.	.	.	.	.	.	.	100.00	96.04	100.00	100.00	100.00	.
/cluster/scratch/jkamer/Data/Blasted/A97280_2_vfdb.txt	54	.	100.00	100.00	100.00	99.85	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	100.00	100.00	100.00	.	100.00	100.00	.	100.00	.	.	.	.	.	100.00	82.07	100.00	100.00	99.90	100.00	100.00	98.69;97.83	100.00	100.00	.	100.00	100.00	100.00	99.85	100.00	100.00	100.00	100.00	100.00	100.00	.	.	99.15	100.00	100.00	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	100.00	100.00	100.00	100.00	.	98.30
/cluster/scratch/jkamer/Data/Blasted/A97281_2_vfdb.txt	54	.	100.00	100.00	100.00	99.85	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	100.00	100.00	100.00	.	100.00	100.00	.	100.00	.	.	.	.	.	100.00	82.07	100.00	100.00	99.90	100.00	100.00	98.69;97.83	100.00	100.00	.	100.00	100.00	100.00	99.85	100.00	100.00	100.00	100.00	100.00	100.00	.	.	99.15	100.00	100.00	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	100.00	100.00	100.00	100.00	.	98.30
/cluster/scratch/jkamer/Data/Blasted/A97282_2_vfdb.txt	54	.	100.00	100.00	100.00	99.85	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	100.00	100.00	100.00	.	100.00	100.00	.	100.00	.	.	.	.	.	100.00	82.07	100.00	100.00	99.90	100.00	100.00	98.69;97.83	100.00	100.00	.	100.00	100.00	100.00	99.85	100.00	100.00	100.00	100.00	100.00	100.00	.	.	99.15	100.00	100.00	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	100.00	100.00	100.00	100.00	.	98.30
/cluster/scratch/jkamer/Data/Blasted/A97283_2_vfdb.txt	55	.	100.00	100.00	100.00	99.85	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	100.00	100.00	100.00	.	100.00	100.00	.	100.00	.	.	.	.	.	100.00	82.07	100.00	100.00	99.90	100.00	100.00	98.69;97.83	100.00	100.00	.	100.00	100.00	100.00	99.85	100.00	100.00	100.00	100.00	100.00	100.00	.	.	99.15	100.00	100.00	.	100.00	.	80.33	.	.	.	.	.	.	.	.	.	.	100.00	100.00	100.00	100.00	.	98.30
/cluster/scratch/jkamer/Data/Blasted/A97284_2_vfdb.txt	54	.	100.00	100.00	100.00	99.85	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	100.00	100.00	100.00	.	100.00	100.00	.	100.00	.	.	.	.	.	100.00	82.07	100.00	100.00	99.90	100.00	100.00	98.69;97.83	100.00	100.00	.	100.00	100.00	100.00	99.85	100.00	100.00	100.00	100.00	100.00	100.00	.	.	99.15	100.00	100.00	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	100.00	100.00	100.00	100.00	.	98.30
/cluster/scratch/jkamer/Data/Blasted/A97285_2_vfdb.txt	54	.	100.00	100.00	100.00	99.85	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	100.00	100.00	100.00	.	100.00	100.00	.	100.00	.	.	.	.	.	100.00	82.07	100.00	100.00	99.90	100.00	100.00	98.69;97.83	100.00	100.00	.	100.00	100.00	100.00	99.85	100.00	100.00	100.00	100.00	100.00	100.00	.	.	99.15	100.00	100.00	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	100.00	100.00	100.00	100.00	.	98.30
